"id","category","name","nameZh","town","lat","lng","locationPrecision","summary","sourceIds","image","imageSource","placeId"
"tinglin_garden","Places","Tinglin Garden","亭林园","Yushan","31.3864","120.9486","specific-site","Central Kunshan garden named for Gu Yanwu and associated with Kunshan's three treasures.","ks-tourism;ks-tinglin","assets/cards/tinglin.jpg","https://www.ks.gov.cn/kss/Tourism/enlist_tt_hd.shtml",""
"forest_park","Places","Urban Ecological Forest Park","昆山城市生态森林公园","Yushan","31.4012","120.9099","specific-site","A large urban wetland and public park northwest of central Kunshan.","ks-tourism","assets/cards/forest.jpg","https://www.ks.gov.cn/kss/Tourism/enlist_tt_hd.shtml",""
"opera_museum","Places","Opera Hundred Plays Museum","昆山戏曲百戏博物馆","Bacheng","31.4543","120.8802","town-area anchor","A museum presenting the history and diversity of Chinese opera genres.","ks-opera-museum;ks-villages","assets/cards/bacheng.jpg","https://www.ks.gov.cn/kss/Tourism/enlist_tt_hd.shtml",""
"zhouzhuang_town","Places","Zhouzhuang Ancient Town","周庄古镇","Zhouzhuang","31.1168","120.8468","specific-site","Historic water town with canals, bridges and riverside residences.","ks-tourism","assets/cards/zhouzhuang.jpg","https://www.ks.gov.cn/kss/Tourism/enlist_tt_hd.shtml",""
"twin_bridges","Places","Twin Bridges","双桥","Zhouzhuang","31.1149","120.8478","specific-site","A paired bridge landmark within Zhouzhuang's canal network.","ks-tourism","assets/cards/zhouzhuang.jpg","https://www.ks.gov.cn/kss/Tourism/enlist_tt_hd.shtml","zhouzhuang_town"
"zhang_hall","Places","Zhang's Hall","张厅","Zhouzhuang","31.1162","120.8471","town-area anchor","A recommended historic residence in Zhouzhuang.","ks-tourism","assets/cards/zhouzhuang.jpg","https://www.ks.gov.cn/kss/Tourism/enlist_tt_hd.shtml","zhouzhuang_town"
"shen_hall","Places","Shen's Hall","沈厅","Zhouzhuang","31.1155","120.8458","town-area anchor","A recommended historic residence associated with the Shen family.","ks-tourism","assets/cards/zhouzhuang.jpg","https://www.ks.gov.cn/kss/Tourism/enlist_tt_hd.shtml","zhouzhuang_town"
"zhenfeng_street","Places","Zhenfeng Cultural Street","贞丰文化街","Zhouzhuang","31.117","120.8462","town-area anchor","A named cultural street in Zhouzhuang.","ks-tourism","assets/cards/zhouzhuang.jpg","https://www.ks.gov.cn/kss/Tourism/enlist_tt_hd.shtml","zhouzhuang_town"
"shen_residence","Places","Former Residence of Shen Wansan","沈万三故居","Zhouzhuang","31.1158","120.8453","town-area anchor","A visitor site interpreting Shen Wansan in Zhouzhuang.","ks-tourism","assets/cards/zhouzhuang.jpg","https://www.ks.gov.cn/kss/Tourism/enlist_tt_hd.shtml","zhouzhuang_town"
"chengxu_temple","Places","Chengxu Taoist Temple","澄虚道院","Zhouzhuang","31.1178","120.849","town-area anchor","A Taoist temple listed among Zhouzhuang's recommended sites.","ks-tourism","assets/cards/zhouzhuang.jpg","https://www.ks.gov.cn/kss/Tourism/enlist_tt_hd.shtml","zhouzhuang_town"
