number,name_zh,group,source_url
1,汉浦塘,自然地理实体地名,https://www.ks.gov.cn/kss/c112598/202411/f07e2e41857040d7a1920a6353aeb24c.shtml
2,皇仓泾,自然地理实体地名,https://www.ks.gov.cn/kss/c112598/202411/f07e2e41857040d7a1920a6353aeb24c.shtml
3,茆沙塘,自然地理实体地名,https://www.ks.gov.cn/kss/c112598/202411/f07e2e41857040d7a1920a6353aeb24c.shtml
4,瓦浦河,自然地理实体地名,https://www.ks.gov.cn/kss/c112598/202411/f07e2e41857040d7a1920a6353aeb24c.shtml
5,新塘河,自然地理实体地名,https://www.ks.gov.cn/kss/c112598/202411/f07e2e41857040d7a1920a6353aeb24c.shtml
6,泗安泾,自然地理实体地名,https://www.ks.gov.cn/kss/c112598/202411/f07e2e41857040d7a1920a6353aeb24c.shtml
7,小澞河,自然地理实体地名,https://www.ks.gov.cn/kss/c112598/202411/f07e2e41857040d7a1920a6353aeb24c.shtml
8,徐公河,自然地理实体地名,https://www.ks.gov.cn/kss/c112598/202411/f07e2e41857040d7a1920a6353aeb24c.shtml
9,大直港,自然地理实体地名,https://www.ks.gov.cn/kss/c112598/202411/f07e2e41857040d7a1920a6353aeb24c.shtml
10,金鸡河,自然地理实体地名,https://www.ks.gov.cn/kss/c112598/202411/f07e2e41857040d7a1920a6353aeb24c.shtml
11,昆北塘,自然地理实体地名,https://www.ks.gov.cn/kss/c112598/202411/f07e2e41857040d7a1920a6353aeb24c.shtml
12,大石浦,自然地理实体地名,https://www.ks.gov.cn/kss/c112598/202411/f07e2e41857040d7a1920a6353aeb24c.shtml
13,陆泥浦,自然地理实体地名,https://www.ks.gov.cn/kss/c112598/202411/f07e2e41857040d7a1920a6353aeb24c.shtml
14,白莲湖,自然地理实体地名,https://www.ks.gov.cn/kss/c112598/202411/f07e2e41857040d7a1920a6353aeb24c.shtml
15,明镜荡,自然地理实体地名,https://www.ks.gov.cn/kss/c112598/202411/f07e2e41857040d7a1920a6353aeb24c.shtml
16,杨氏田湖,自然地理实体地名,https://www.ks.gov.cn/kss/c112598/202411/f07e2e41857040d7a1920a6353aeb24c.shtml
17,鳗鲤湖,自然地理实体地名,https://www.ks.gov.cn/kss/c112598/202411/f07e2e41857040d7a1920a6353aeb24c.shtml
18,巴城湖,自然地理实体地名,https://www.ks.gov.cn/kss/c112598/202411/f07e2e41857040d7a1920a6353aeb24c.shtml
19,南湖,自然地理实体地名,https://www.ks.gov.cn/kss/c112598/202411/f07e2e41857040d7a1920a6353aeb24c.shtml
