"id","a","b","label","summary","strength","sourceIds"
"rel_1","twin_bridges","zhouzhuang_town","Part of the same place system","Twin Bridges is documented in relation to Zhouzhuang Ancient Town. A paired bridge landmark within Zhouzhuang's canal network.","Official source association","ks-tourism"
"rel_2","zhang_hall","zhouzhuang_town","Part of the same place system","Zhang's Hall is documented in relation to Zhouzhuang Ancient Town. A recommended historic residence in Zhouzhuang.","Official source association","ks-tourism"
"rel_3","shen_hall","zhouzhuang_town","Part of the same place system","Shen's Hall is documented in relation to Zhouzhuang Ancient Town. A recommended historic residence associated with the Shen family.","Official source association","ks-tourism"
"rel_4","zhenfeng_street","zhouzhuang_town","Part of the same place system","Zhenfeng Cultural Street is documented in relation to Zhouzhuang Ancient Town. A named cultural street in Zhouzhuang.","Official source association","ks-tourism"
"rel_5","shen_residence","zhouzhuang_town","Part of the same place system","Former Residence of Shen Wansan is documented in relation to Zhouzhuang Ancient Town. A visitor site interpreting Shen Wansan in Zhouzhuang.","Official source association","ks-tourism"
"rel_6","chengxu_temple","zhouzhuang_town","Part of the same place system","Chengxu Taoist Temple is documented in relation to Zhouzhuang Ancient Town. A Taoist temple listed among Zhouzhuang's recommended sites.","Official source association","ks-tourism"
"rel_7","old_opera_stage","zhouzhuang_town","Part of the same place system","Old Drama Stage is documented in relation to Zhouzhuang Ancient Town. A performance site in Zhouzhuang's historic area.","Official source association","ks-tourism"
"rel_8","ancient_tile_museum","jinxi_town","Part of the same place system","Chinese Ancient Brick and Tile Museum is documented in relation to Jinxi Ancient Town. Museum interpreting historic bricks, tiles and kiln culture.","Official source association","ks-tourism;ks-culture-policy"
"rel_9","clay_sculpture_hall","jinxi_town","Part of the same place system","Maruote Clay Sculpture Hall is documented in relation to Jinxi Ancient Town. A folk-museum venue dedicated to clay sculpture.","Official source association","ks-tourism"
"rel_10","jinxi_ballad_center","jinxi_town","Part of the same place system","Jinxi Ballad Art Center is documented in relation to Jinxi Ancient Town. A venue connected with Jinxi narrative-singing culture.","Official source association","ks-tourism;ks-culture-policy"
"rel_11","lianchi_temple","jinxi_town","Part of the same place system","Lianchi Temple is documented in relation to Jinxi Ancient Town. A temple listed among Jinxi's recommended sites.","Official source association","ks-tourism"
"rel_12","concubine_tomb","jinxi_town","Part of the same place system","Concubine's Water Tomb is documented in relation to Jinxi Ancient Town. A water-set memorial site central to one of Jinxi's best-known narratives.","Official source association","ks-tourism"
"rel_13","wenchang_pavilion","jinxi_town","Part of the same place system","Wenchang Pavilion is documented in relation to Jinxi Ancient Town. A pavilion in the Jinxi historic area.","Official source association","ks-tourism"
"rel_14","stone_street","qiandeng_town","Part of the same place system","Ancient Flagstone Street is documented in relation to Qiandeng Ancient Town. A 1,500-metre street lined with historic residences.","Official source association","ks-tourism"
"rel_15","gu_yanwu_residence","qiandeng_town","Part of the same place system","Former Residence of Gu Yanwu is documented in relation to Qiandeng Ancient Town. Nationally protected former residence linked to scholar Gu Yanwu.","Official source association","ks-tourism;ks-heritage"
"rel_16","gu_jian_memorial","qiandeng_town","Part of the same place system","Gu Jian Memorial Hall is documented in relation to Qiandeng Ancient Town. A memorial venue presenting Gu Jian and Kunqu origins.","Official source association","ks-tourism"
"rel_17","qinfeng_tower","qiandeng_town","Part of the same place system","Qinfeng Tower and Yanfu Temple is documented in relation to Qiandeng Ancient Town. A nationally protected pagoda and temple complex in Qiandeng.","Official source association","ks-tourism;ks-heritage"
"rel_18","qiandeng_hall","qiandeng_town","Part of the same place system","Qiandeng Hall is documented in relation to Qiandeng Ancient Town. A recommended cultural venue in Qiandeng.","Official source association","ks-tourism"
"rel_19","bajie_park","bacheng_town","Part of the same place system","Bajie Park is documented in relation to Bacheng Ancient Town. A Bacheng destination connected with local crab culture.","Official source association","ks-tourism"
"rel_20","chongning_temple","bacheng_town","Part of the same place system","Chongning Temple is documented in relation to Bacheng Ancient Town. A temple listed among Bacheng's visitor destinations.","Official source association","ks-tourism"
"rel_21","yangcheng_wetland","bacheng_town","Part of the same place system","Yangcheng Lake Wetland Park is documented in relation to Bacheng Ancient Town. Wetland destination beside Yangcheng Lake.","Official source association","ks-tourism"
"rel_22","liurudun","dianshan_lake","Part of the same place system","Liurudun is documented in relation to Dianshan Lake. A named Dianshanhu destination also included in the protected place-name list.","Official source association","ks-tourism;ks-place-names"
"rel_23","yuyantang","zhouzhuang_town","Part of the same place system","Yuyan Hall is documented in relation to Zhouzhuang Ancient Town. A nationally protected historic hall.","Official source association","ks-heritage;ks-tourism"
"rel_24","jingyetang","zhouzhuang_town","Part of the same place system","Jingye Hall is documented in relation to Zhouzhuang Ancient Town. A nationally protected historic hall.","Official source association","ks-heritage;ks-tourism"
"rel_25","yulong_bridge","zhouzhuang_town","Part of the same place system","Yulong Bridge is documented in relation to Zhouzhuang Ancient Town. A provincially protected historic bridge.","Official source association","ks-heritage;ks-tourism"
"rel_26","kunshan_stone","tinglin_garden","Material culture and place","Kunshan Stone is documented in relation to Tinglin Garden. One of the three treasures displayed and interpreted at Tinglin Garden.","Official source association","ks-tinglin;ks-tourism"
